cues,result,compare
choki choki,48200,19300
chong kong,7870,8230
choon boh,332,325
chop,28400000,29200000
chop chop,153000,167000
chop chop kali pok,1070,1710
chope,417000,405000
chor,1410000,1650000
chor lang,318,318
chor lor,1740,1690
chou chou,48200,48200
chu pattern,2100,2100
chuay si,66,66
chui,2860000,2580000
chui kong lum pa song,1,2
chun boh,238,237
chuppie,1430,1460
chut pattern,3010,2970
cik pon,6990,2610
cina babi,7490,7130
cina poyo,80,62
cinapore,209,193
cinaporean,34,36
cinibong laksa,1,1
cissy cracker,8,49
civil servant,654000,654000
civil service,4260000,3810000
cklps,122,122
claypot,652000,689000
clementi,7490000,8820000
climb bukit timah,734,1720
climb on top,272000,281000
climbing plant,47800,167000
close eye,342000,778000
close one eye,43700,44400
close satu mata,1,1
clown around,51200,107000
cm,153000000,259000000
cnc,15500000,12300000
cny,85200000,84100000
cock fella,86200,76300
cock up,8220000,8320000
cockanaathan,9,9
coconut milk,3000000,2970000
coffee money,48000,46100
colorful jelly,5050,9150
combat engineers,30800,38300
combat vocation,1380,1840
come i clap for you,5040,6510
comel,1280000,1850000
comeuppance,281000,282000
complain king,1210,1210
complain queen,861,1640
confim and guarantee,1,20200
confirm,266000000,261000000
confirm plus guarantee times 2 with 3 year warranty,6,6
confirm and guarantee,20400,20200
confirm plus chop,12300,11900
confirm plus guarantee,406,407
confuzzled,40500,41200
construction worker,525000,524000
contra,46000000,35200000
controlive,756,443
corn hoon kueh,1080,1040
corn puff,11200,12800
corntos,4210,940
corright,965,941
cover backside,5660,4200
cover car chng,4,5
cover line,18500,69100
cover lubang,3480,1240
cover pantat,114,8
cover shit,6320,5010
cow touncil,33,33
cowdung,61300,60700
crispy,44800000,40700000
crone,342000,771000
cronyism,405000,410000
cry dad cry mum,5,6
csb,858000,821000
csi,8340000,8250000
css,18900000,15100000
cuckoo bird,55900,55900
cucuk,265000,151000
cucur,139000,143000
cultural theft,4390,6420
curi,409000,469000
curi ayam,37900,7830
curry favor,91400,91200
curry laksa,92600,88900
curse enemy,1910,771
custard flour,2620,2050
custard powder,54100,53400
cut queue,8550,11000
cyber cafe,516000,570000
da bai tu,3620,3630
da er long,4480,582
da fei gei,98,99
da fei ji,648,647
da shou qiang,138,139
da xiao ren,3280,3140
dabao,160000,158000
dadah,243000,499000
daebak,91700,249000
dahlia biscuit,165,158
dai ji,30900,30900
dai lou,7510,7510
daisy biscuit,261,345
dak payung,8,8
dao,21600000,17700000
darah go up,3,3
darah naik,7670,7370
darah up,691,692
dd,58000000,45200000
deep fried prawn,85600,89700
deeparaya,1600,1890
deepavali,1750000,681000
degil,370000,386000
despo,164000,44100
detention barracks,31700,27900
dey,2430000,2260000
dhilla,25200,25000
diam,3240000,3040000
diam diam,234000,234000
diamond cheese pie,3,5
diao,322000,388000
diao ppl,23,23
diao zui,1340,1280
diaoz,11200,11000
die why die,766,764
die cock stand,54400,61000
die die,7120000,11100000
digger,13000000,20900000
ding dang,65000,65100
ding dang chocolate,250,252
ding dong,406000,400000
dinner&dance,920,920
dip dip,115000,134000
dirty business,305000,305000
dirty work,319000,634000
diu lei,6750,6690
diu lei lou mou,739,739
do wan,31800,32200
do stupid thing,5330,13800
dodge task,22,22
dodol durian,4260,3820
dodol nangka,1260,1260
dodol sirsak,1420,1490
dol,5440000,2520000
donch,14800,15300
donch shy,4,4
dong zhi,69800,69300
dont fly my aeroplane,3,3
dont fly my kite,2730000,3670000
dont hew,46,45
dont play a fool,1200,2010
dont play play,40100,11900
dont want done,690,676
doraemon,1900000,2140000
dosa,1620000,1430000
dot dot dot,128000,929000
double confirm,79100,41800
double decker,4070000,4140000
dowan done,2,2
dragon boat festival,236000,233000
dragon boat race,48500,46900
dragon dance,162000,152000
drain hole,71300,107000
drama,53900000,82600000
drama mama,40500,93300
dried fig,57800,56900
dried fish,219000,187000
dried fish fillet,13700,16400
dried fish strip,244,282
dried fruit,1120000,995000
dried olive,14100,21800
dried prawn,16100,12400
drink stall,34800,39900
dta,690000,701000
du lan,31100,30700
dua neh bu,580,580
dua neh neh,862,863
dua pai,258,258
dua pao sian,67,65
dua suay bak,3,3
dua suay liap,3,3
duanwu festival,11700,11200
dubdew,798,795
duduk rumah besarkan badan,9,10
duduk rumah besarkan buntut,41200,38500
duduk rumah besarkan konek,10600,14700
duduk rumah besarkan perut,53200,50300
duduk rumah besarkan tetek,33400,31800
duduk rumah diam diam,3610,2550
duduk rumah jual anggur,153000,161000
duit raya,162000,132000
duku,136000,364000
duku langsat,5420,5390
dukun,673000,424000
dumpling festival,24500,24700
dun,23000000,16600000
dungu,163000,166000
dunno,1290000,1360000
duo gao,3510,3610
durex,1310000,1430000
durian popcorn,1620,1560
dutty yeah,553,1260
ear biscuit,1090,1270
early early don't say,90,90
early early never say,3,3
earn a living,514000,990000
eat air,33900,34600
eat die me,1910,1960
eat dirt,91100,88900
eat grass,38500,35500
eat ones fill,9,9
eat salt,25800,31300
eat shit,347000,346000
eat snake,5880,19200
eat taik,36,36
eat too much,317000,314000
eclectic mix,328000,266000
economic rice,14300,28300
edible wrapper,1330,1350
edmw,43900,97900
edmwer,19300,18400
eee,2190000,1950000
eeyer,3740,3130
egg ball,8560,38500
egg wafer,2410,2360
eh hello,19600,21900
eh hiao,199,213
eh hiao cho lang,2770,424000
eh sai,14500,14300
eh sai bo,455,403
eksi,835000,800000
eksi borak,3,3
elbow neck,4120,6290
electro mat,736,1240
electro minah,140,158
eleven b,6900,7090
elumbukoodu,3,3
emo,16500000,20700000
empty headed,57200,59500
en pee en tee,3,5
encik,418000,451000
eng eng cheng cheng,664,684
england,257000000,213000000
engrand,25400,25900
enthu,220000,220000
eppadi irukkinga,397,396
er duo bing,78,77
errand boy,209000,40000
eruma maadu,540,540
erxin,5770,6100
erxin dabian,3,3
eskew me,224,88
extra,267000000,424000000
eye kena stamp,8,8
eye power,24200,21600
eye red,206000,200000
eyeglass candy,787,825
eyeglass chocolate,1040,997
eyes got stamp,636,642
eyes kena stamp,8,8
eyes paste stamp,89,89
eyes stick stamp,8,8
fa dai,11900,18600
face pecah,90,88
fakester,914,914
fall in,24200000,23000000
fall out,1120000,1180000
familee,57500,55400
fancy gems,7220,7210
fang ge zi,370,369
fang fei ji,413,413
fang pi,3690,1300
fang xin,40300,39700
farker,42200,42800
fast game,150000,153000
faster cheaper better,25100,27900
fat die me,163000,163000
fatsy,35900,35700
fatty bom bom,3800,3740
feathered toy,524,788
feeling feeling,42800,14500
feeweet,127,100
feng shui,5130000,5100000
festival of lights,244000,252000
fetch,6680000,6420000
fevret,17100,18000
fiak,26400,26000
field camp,77600,30800
field report,212000,61800
find pasal,6,6
finger itchy,1030,965
first-come first-serve,1240000,2790000
fish gravy,31900,28400
fish muruku,1770,3240
fish seller,52100,93400
fist fight,368000,360000
fitspo,188000,193000
five stone,220000,74300
fizzy cola,20100,20100
flashy fashion,4110,4080
flesy,2400,2420
flim,2010000,3260000
flip eraser,128,158
flip prata,4730,4600
fly aeroplane,7300,7770
fly kite,30800,70800
fly me aeroplane,382,382
flying fish biscuit,353,446
fong fei gei,155,160
food truck,5310000,5530000
food wrapper,7180,24400
fool around,155000,456000
forazumper,5,5
foreign devil,32900,32300
foreign talent,113000,112000
foreign worker,397000,399000
forget it,2880000,2970000
fox spirit,109000,153000
foya foya,24900,25300
fraudster,730000,356000
freaktard,314,282
free and easy,9410000,7230000
free flow,1100000,1140000
free-range,593000,670000
freeze and melt,11400,11600
fricktard,7,7
fried bee hoon,60800,68600
fried egg,468000,591000
fruit rojak,12000,5610
frus,347000,331000
fu er dai,3500,5060
fuck spider,87100,82100
fuck atas bawah,1,1
fugly,497000,539000
fuh,241000,265000
fulamak,9930,9530
full of oneself,88200,59000
full tank,145000,121000
full time,78500000,73900000
fuyoh,19300,19000
fwah,30100,15200
fwuh,1230,1280
gabra,256000,258000
gadoh,19600,18600
gagah,256000,266000
gahmen,119000,122000
gain face,15300,15300
gaji buta,51800,27700
gam sia,1250,1210
gan bei,30300,30500
gan dong,48000,48100
gan qing,11300,11300
gandos,65900,64200
gandos ubi,2,1
ganja,1780000,1030000
ganjaa,12700,12700
gao cuo,145,145
gao dim sai,9,9
gao ding,21900,22000
gao fu shuai,1320,1310
gao kway nrng,2,2
gao tak chek,1,1
gao teng gi,2,2
gaowei,129000,132000
garam masala,208000,208000
garang,277000,302000
